Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-26,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-27,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-28,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-29,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-01,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-02,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-03,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-04,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,1.0
2020-03-05,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,1.0
2020-03-06,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,2.0
2020-03-07,,,,,,,,0.0,,,,,,,,,,,,,,,4.0,,,,4.0
2020-03-08,,,,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,3.0
2020-03-09,,,,,,,,3.0,,,,,,,,,,,,,,,5.0,1.0,,,9.0
2020-03-10,,,,,,,,4.0,,,,,,,,,,,,,,,6.0,1.0,,,11.0
2020-03-11,,,,,,2.0,,6.0,,,,,,,,,,,,,,,7.0,1.0,,,16.0
2020-03-12,,,,,,,,6.0,,,,,,,,,,,,,,,8.0,1.0,,,17.0
2020-03-13,,,,,,,,7.0,,,,,,,,,,,,,13.0,,10.0,1.0,,,33.0
2020-03-14,,,,,,,,8.0,,,,,,,,,,,,,,,14.0,1.0,,,38.0
2020-03-15,,,,,,,,12.0,,,,,,,,,,,,,,,19.0,1.0,,,47.0
2020-03-16,,,,,,,,10.0,,,,,,,,,,,,,,,27.0,1.0,,,53.0
2020-03-17,,,,,,,,19.0,,,,,,,,,,,,,,,35.0,2.0,,,71.0
2020-03-18,,,,,,,5.0,20.0,,,,,,,,,,,,,,,34.0,2.0,,,76.0
2020-03-19,6.0,,,,,,5.0,19.0,,,,,,,,,,,,,33.0,,32.0,2.0,,,99.0
2020-03-20,4.0,,,,,,6.0,22.0,,,,,,,,,,,,,35.0,,30.0,5.0,,,104.0
2020-03-21,,,,,,,6.0,25.0,,,,,,,,,,,,,40.0,,23.0,6.0,,,106.0
2020-03-22,,,,,,,8.0,36.0,,,1.0,,,,,,,,,,46.0,,23.0,7.0,,,127.0
2020-03-23,3.0,,,,,,7.0,43.0,,,2.0,,,,,,,,,,45.0,,41.0,10.0,,,153.0
2020-03-24,2.0,,,,,,7.0,41.0,,,3.0,,,,,,,,,,50.0,,46.0,11.0,,,162.0
2020-03-25,5.0,,,,,,7.0,50.0,,,3.0,,,,,,,,,,57.0,,58.0,11.0,,,193.0
2020-03-26,10.0,,,,,8.0,5.0,52.0,,,4.0,,,,,,,,,,60.0,,66.0,11.0,,,216.0
2020-03-27,12.0,,,,,8.0,8.0,54.0,,,4.0,,,,,,,,,,61.0,,73.0,15.0,,,235.0
2020-03-28,,,,,,11.0,12.0,59.0,,,5.0,,,,,,,,,,69.0,,76.0,19.0,,,263.0
2020-03-29,,,,,,12.0,13.0,59.0,,,5.0,,,,,,,,,,69.0,,78.0,23.0,,,271.0
2020-03-30,25.0,,,21.0,,12.0,16.0,57.0,,,5.0,,,,,,,,,,75.0,,,21.0,,,310.0
2020-03-31,25.0,,,,,15.0,20.0,,,,,,,,,,,,,,74.0,,,,,,316.0
